,valid,incent_heads,incent_guess,guess_country,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score,year,gle_rgdpc
764,1,5,yes,Portugal,1,4,India,TRUE,2,3,1,1,3,2,1,1,3,1,2,2,2,2,2,1,India,1,,1,0,1,1,0,1,1,1,100000,1,7,2,2,2,2,2,2011,3755.1399
765,1,5,no,아르헨티나,1,3,South Korea,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,South Korea,3,,0,0,0,0,0,0,2,1,200,3,7,2,2,2,2,0,2011,29271.51
766,1,5,no,Danmark,1,4,Denmark,FALSE,4,3,2,1,4,2,3,3,4,3,3,3,3,2,4,,Denmark,2,,1,0,0,0,1,0,2,4,30000,3,7,2,2,2,2,0,2011,32998.488
767,1,5,yes,South Africa,1,3,India,TRUE,4,4,4,2,3,3,3,4,4,4,3,4,4,3,3,1,India,1,,1,1,0,1,0,0,1,1,35000,2,7,1,1,1,2,2,2011,3755.1399
768,1,3,no,포르투갈,1,2,South Korea,TRUE,4,4,4,3,3,4,4,4,4,4,3,4,4,2,3,,South Korea,2,,1,0,1,1,1,1,1,1,1200000,2,5,2,2,1,2,2,2011,29271.51
769,1,3,yes,Argentina,1,2,India,FALSE,2,4,3,2,4,4,2,4,3,4,4,4,4,3,4,1,India,2,,1,1,1,1,1,1,1,1,INR18000,2,6,2,2,1,1,3,2011,3755.1399
770,1,5,yes,영국과 북 아일랜드의 영국,1,5,South Korea,TRUE,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,1,South Korea,3,,1,0,0,0,0,0,2,1,500만원,4,7,2,2,2,2,0,2011,29271.51
771,1,5,yes,아르헨티나,2,3,South Korea,FALSE,3,3,3,2,2,3,2,2,3,3,2,3,3,3,2,1,South Korea,2,,0,0,0,0,0,0,1,1,50만원,3,7,2,2,2,2,0,2011,29271.51
772,1,3,no,남아프리카,1,3,South Korea,TRUE,2,2,3,3,2,3,2,3,3,2,3,3,3,3,3,,South Korea,1,,1,0,0,0,0,0,1,3,3000,2,7,1,2,1,2,0,2011,29271.51
773,1,3,yes,Portugal,2,4,Denmark,FALSE,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,1,Denmark,2,,1,0,0,0,0,0,4,5,18000,3,7,2,2,2,1,0,2011,32998.488
774,1,5,no,덴마크,1,3,South Korea,TRUE,4,4,4,2,2,4,4,4,4,4,4,4,4,2,4,,South Korea,3,,1,0,0,0,0,0,1,1,200만원,4,7,2,2,1,2,0,2011,29271.51
775,1,5,no,Danmark,2,2,Denmark,TRUE,4,4,4,3,2,4,3,4,4,4,4,4,4,4,4,,Denmark,3,,1,1,1,1,1,1,1,1,ca. 3000,4,8,2,2,1,2,3,2011,32998.488
776,1,3,no,영국과 북 아일랜드의 영국,1,5,South Korea,TRUE,2,2,3,1,2,2,2,3,1,1,1,1,3,2,2,,South Korea,1,,1,1,1,1,1,1,2,3,890만원,1,7,2,2,2,2,3,2011,29271.51
777,1,5,yes,대한민국,2,2,South Korea,TRUE,4,4,4,2,2,4,4,3,3,4,4,4,4,2,2,1,South Korea,1,,,1,1,1,0,1,1,1,50만원,1,8,2,2,2,2,3,2011,29271.51
778,1,3,no,United Kingdom of Great Britain and Northern Ireland,1,3,India,TRUE,1,2,3,3,2,3,3,1,2,4,1,2,2,2,1,,India,1,,0,1,1,1,0,1,2,3,1200000,1,7,2,2,1,2,3,2011,3755.1399
